Setor,Região,Impacto
Indústria,Europa,33.48
Indústria,Europa,61.44
Indústria,Europa,46.34
Indústria,Europa,19.75
Indústria,Europa,41.86
Indústria,Europa,33.38
Indústria,Europa,48.52
Indústria,Ásia,32.07
Indústria,Ásia,38.85
Indústria,Ásia,45.05
Indústria,Ásia,48.66
Indústria,Ásia,28.0
Indústria,Ásia,36.65
Indústria,Ásia,35.25
Indústria,Ásia,33.47
Indústria,Ásia,57.65
Indústria,Ásia,44.05
Indústria,Ásia,27.39
Indústria,Ásia,49.18
Indústria,Ásia,61.22
Indústria,Ásia,50.32
Indústria,Ásia,24.81
Indústria,Ásia,35.16
Indústria,Ásia,52.67
Indústria,Ásia,32.92
Indústria,Ásia,44.44
Indústria,Ásia,47.75
Indústria,América Latina,30.73
Indústria,América Latina,39.4
Indústria,América Latina,7.59
Indústria,América Latina,29.76
Indústria,América Latina,37.47
Indústria,América Latina,27.52
Indústria,América Latina,56.32
Indústria,América Latina,25.7
Indústria,América Latina,35.6
Indústria,América Latina,41.31
Indústria,América Latina,54.41
Indústria,América Latina,25.64
Indústria,América Latina,51.63
Indústria,América Latina,40.1
Indústria,América Latina,30.18
Indústria,América Latina,44.62
Indústria,América Latina,41.99
Indústria,América Latina,34.0
Indústria,América Latina,40.7
Indústria,América Latina,36.15
Indústria,África,41.14
Indústria,África,46.62
Indústria,África,55.86
Indústria,África,27.62
Indústria,África,61.33
Indústria,África,20.48
Indústria,África,38.48
Indústria,África,45.88
Indústria,África,42.81
Indústria,África,33.77
Indústria,África,37.92
Indústria,África,35.07
Indústria,África,34.11
Indústria,África,48.5
Indústria,África,43.57
Indústria,África,33.07
Indústria,África,49.0
Indústria,África,43.07
Indústria,África,48.13
Indústria,África,46.3
Educação,América do Norte,21.71
Educação,América do Norte,24.4
Educação,América do Norte,37.47
Educação,América do Norte,36.1
Educação,América do Norte,29.79
Educação,América do Norte,31.17
Educação,América do Norte,42.78
Educação,América do Norte,24.08
Educação,América do Norte,35.47
Educação,América do Norte,27.98
Educação,América do Norte,27.82
Educação,América do Norte,40.99
Educação,América do Norte,38.25
Educação,América do Norte,38.14
Educação,América do Norte,43.05
Educação,América do Norte,30.21
Educação,América do Norte,36.82
Educação,América do Norte,26.9
Educação,América do Norte,33.24
Educação,América do Norte,28.7
Educação,Europa,30.97
Educação,Europa,35.95
Educação,Europa,21.82
Educação,Europa,50.92
Educação,Europa,19.94
Educação,Europa,17.86
Educação,Europa,41.58
Educação,Europa,37.92
Educação,Europa,36.24
Educação,Europa,36.28
Educação,Europa,29.88
Educação,Europa,21.03
Educação,Europa,30.76
Educação,Europa,23.23
Educação,Europa,39.75
Educação,Europa,28.53
Educação,Europa,21.75
Educação,Europa,26.79
Educação,Europa,34.13
Educação,Europa,24.36
Educação,Ásia,21.78
Educação,Ásia,32.44
Educação,Ásia,32.45
Educação,Ásia,24.93
Educação,Ásia,25.29
Educação,Ásia,32.32
Educação,Ásia,15.52
Educação,Ásia,15.93
Educação,Ásia,22.82
Educação,Ásia,27.87
Educação,Ásia,33.11
Educação,Ásia,44.75
Educação,Ásia,38.58
Educação,Ásia,28.4
Educação,Ásia,29.81
Educação,Ásia,19.97
Educação,Ásia,29.81
Educação,Ásia,27.11
Educação,Ásia,33.23
Educação,Ásia,21.73
Educação,América Latina,35.19
Educação,América Latina,45.33
Educação,América Latina,28.91
Educação,América Latina,34.02
Educação,América Latina,36.9
Educação,América Latina,25.99
Educação,América Latina,32.24
Educação,América Latina,30.13
Educação,América Latina,30.98
Educação,América Latina,22.27
Educação,América Latina,30.25
Educação,América Latina,34.98
Educação,América Latina,44.51
Educação,América Latina,39.59
Educação,América Latina,51.53
Educação,América Latina,22.33
Educação,América Latina,38.72
Educação,América Latina,31.83
Educação,América Latina,51.9
Educação,América Latina,21.92
Educação,África,21.6
Educação,África,24.01
Educação,África,8.76
Educação,África,24.74
Educação,África,22.41
Educação,África,31.5
Educação,África,33.42
Educação,África,48.76
Educação,África,39.5
Educação,África,24.23
Educação,África,21.02
Educação,África,34.92
Educação,África,16.8
Educação,África,48.31
Educação,África,41.79
Educação,África,25.31
Educação,África,12.87
Educação,África,43.54
Educação,África,28.85
Educação,África,42.38
Agricultura,América do Norte,4.06
Agricultura,América do Norte,14.01
Agricultura,América do Norte,20.05
Agricultura,América do Norte,20.47
Agricultura,América do Norte,15.5
Agricultura,América do Norte,26.23
Agricultura,América do Norte,9.32
Agricultura,América do Norte,18.58
Agricultura,América do Norte,21.2
Agricultura,América do Norte,25.14
Agricultura,América do Norte,27.12
Agricultura,América do Norte,8.75
Agricultura,América do Norte,4.66
Agricultura,América do Norte,32.78
Agricultura,América do Norte,23.32
Agricultura,América do Norte,12.52
Agricultura,América do Norte,35.51
Agricultura,América do Norte,21.16
Agricultura,América do Norte,31.79
Agricultura,América do Norte,20.68
Agricultura,Europa,40.61
Agricultura,Europa,37.55
Agricultura,Europa,17.51
Agricultura,Europa,29.72
Agricultura,Europa,26.45
Agricultura,Europa,33.69
Agricultura,Europa,10.35
Agricultura,Europa,26.86
Agricultura,Europa,30.58
Agricultura,Europa,2.41
Agricultura,Europa,8.17
Agricultura,Europa,0.0
Agricultura,Europa,17.31
Agricultura,Europa,27.18
Agricultura,Europa,35.02
Agricultura,Europa,20.74
Agricultura,Europa,36.29
Agricultura,Europa,6.2
Agricultura,Europa,2.97
Agricultura,Europa,19.44
Agricultura,Ásia,23.84
Agricultura,Ásia,19.67
Agricultura,Ásia,0.0
Agricultura,Ásia,19.11
Agricultura,Ásia,6.96
Agricultura,Ásia,26.7
Agricultura,Ásia,23.67
Agricultura,Ásia,10.6
Agricultura,Ásia,14.86
Agricultura,Ásia,9.41
Agricultura,Ásia,19.37
Agricultura,Ásia,29.55
Agricultura,Ásia,10.14
Agricultura,Ásia,25.04
Agricultura,Ásia,14.7
Agricultura,Ásia,12.07
Agricultura,Ásia,18.93
Agricultura,Ásia,9.65
Agricultura,Ásia,14.46
Agricultura,Ásia,8.02
Agricultura,América Latina,39.65
Agricultura,América Latina,20.35
Agricultura,América Latina,13.0
Agricultura,América Latina,22.14
Agricultura,América Latina,18.88
Agricultura,América Latina,17.79
Agricultura,América Latina,26.14
Agricultura,América Latina,27.58
Agricultura,América Latina,14.69
Agricultura,América Latina,14.24
Agricultura,América Latina,17.25
Agricultura,América Latina,0.0
Agricultura,América Latina,4.85
Agricultura,América Latina,33.67
Agricultura,América Latina,36.45
Agricultura,América Latina,17.51
Agricultura,América Latina,25.77
Agricultura,América Latina,23.11
Agricultura,América Latina,50.79
Agricultura,América Latina,31.2
Agricultura,África,18.72
Agricultura,África,10.44
Agricultura,África,3.94
Agricultura,África,22.03
Agricultura,África,12.44
Agricultura,África,5.78
Agricultura,África,13.53
Agricultura,África,9.18
Agricultura,África,36.87
Agricultura,África,28.82
Agricultura,África,19.92
Agricultura,África,34.8
Agricultura,África,20.77
Agricultura,África,11.39
Agricultura,África,35.23
Agricultura,África,25.39
Agricultura,África,9.63
Agricultura,África,18.1
Agricultura,África,11.24
Agricultura,África,6.17
